id;name;code;description;icon;deleted_time
1;系统设置;system;系统内置功能;settings-outline;NULL
2;文件管理;files;文件管理，上传文件和图片;file-search-outlined;NULL
3;客户管理;company;与客户相关的功能;anticon-contacts;NULL
4;配置管理;settings;系统数据字典等配置文件;control-filled;NULL
5;微信配置;weixin;微信相关配置;anticon-wechat;NULL
6;内容管理;cms;文章等内容管理;anticon-file-text;NULL
7;热点银行;wifibank;热点银行相关;anticon-wifi;NULL
8;流程管理;workflow;工作流管理;gateway-outlined;NULL
9;模型管理;modelConfig;模型管理;container-filled;NULL
10;数据可视;report;数据可视;bar-chart-outline;NULL
11;未分类;;未分类;anticon-file-text;NULL
12;日志管理;log;日志管理;profile-outlined;NULL
13;oss;oss;oss;ant-design:project-outline;NULL
14;taskjob;taskjob;taskjob;ant-design:project-outline;NULL